机位,总时间,近,中,远
1,3439.000,0.000,3439.000,0.000
2,804.000,0.000,804.000,0.000
3,555.000,0.000,555.000,0.000
4,214.000,0.000,214.000,0.000
5,211.000,0.000,211.000,0.000
6,311.000,0.000,311.000,0.000
7,217.000,0.000,217.000,0.000
8,21.000,0.000,21.000,0.000
9,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000
11,16.000,0.000,16.000,0.000
12,114.000,0.000,114.000,0.000
13,0.000,0.000,0.000,0.000
